"liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
0.249201085633499,-9.148,0.694,12.0137795376579,"4",0.689,0.654,111.047,"Mitjana","Molt Baixa","11","Si","1",52
0.204572165728774,-4.589,0.566,12.4450895460007,"4",0.498,0.704,107.598,"Baixa","Alta","5","Si","1",91
0.0532563663004315,-6.082,0.745,12.2178776909799,"4",0.453,0.815,98.152,"Baixa","Alta","0","Si","1",37
0.12751332029896,-3.184,0.542,12.5857856633329,"4",0.374,0.905,153.398,"Baixa","Mitjana","9","Si","1",81
0.10345870836823,-7.693,0.6,12.1875674761713,"4",0.622,0.656,124.303,"Baixa","Alta","1","Si","1",60
0.309688152714396,-5.829,0.604,12.0685676543236,"4",0.686,0.726,96.947,"Baixa","Molt Baixa","10","Si","0",25
0.0827774264575682,-4.97,0.543,12.3121698897369,"4",0.661,0.916,151.936,"Baixa","Mitjana","2","Si","1",35
0.439544421761027,-6.977,0.841,11.8882199837333,"4",0.468,0.671,112.502,"Mitjana","Molt Alta","1","No","0",85
0.0971267107307227,-6.028,0.624,11.7432908757674,"4",0.811,0.474,80.548,"Alta","Molt Baixa","5","No","1",33
0.0980337402713654,-19.502,0.35,12.1578063441207,"4",0.137,0.266,120.63,"Alta","Molt Baixa","6","Si","1",50
0.186479566942618,-2.195,0.715,12.3852225111585,"4",0.963,0.97,79.504,"Baixa","Mitjana","0","Si","1",69
0.0773313429363235,-5.582,0.835,12.4953035179718,"4",0.928,0.669,147.924,"Mitjana","Mitjana","6","Si","0",79
0.121332285167525,-5.58,0.765,12.3959199791585,"4",0.284,0.529,97.04,"Mitjana","Baixa","10","No","0",64
0.1016536537265,-7.008,0.543,12.1296558562621,"4",0.215,0.461,84.422,"Mitjana","Alta","7","No","1",1
0.0707380145053417,-8.216,0.79,12.1572552309895,"4",0.35,0.443,114.37,"Baixa","Molt Alta","6","No","0",36
0.0823170424892137,-7.559,0.83,12.4709951733113,"4",0.559,0.417,137.132,"Mitjana","Baixa","8","No","1",58
0.233489843368354,-6.273,0.76,12.2825659847182,"4",0.458,0.91,134.009,"Baixa","Molt Alta","11","Si","0",22
0.0801965419942767,-10.788,0.71,12.2853735396665,"4",0.6,0.408,109.352,"Alta","Mitjana","5","Si","0",23
0.0605304997400323,-10.541,0.843,11.8890235524456,"4",0.34,0.129,132.04,"Alta","Molt Baixa","3","Si","1",5
0.0678455468950672,-8.149,0.702,12.3950346059614,"4",0.796,0.548,99.968,"Mitjana","Molt Baixa","0","Si","1",78
0.0522128714469342,-8.907,0.513,12.5786460367354,"4",0.351,0.56,84.689,"Alta","Molt Baixa","3","Si","1",42
0.209450224182207,-3.782,0.746,12.0205740472804,"4",0.751,0.877,119.997,"Baixa","Mitjana","9","Si","1",11
0.111541374732907,-6.94,0.268,12.096257779523,"4",0.0632,0.459,72.579,"Mitjana","Molt Baixa","11","No","1",74
0.100749903100143,-7.132,0.592,12.0786653196136,"4",0.45,0.571,104.95,"Mitjana","Molt Alta","1","No","1",74
0.0934903430873389,-14.805,0.899,12.205727586004,"4",0.744,0.365,111.503,"Baixa","Alta","7","Si","1",50
0.129272335704139,-11.541,0.567,12.2010199018935,"4",0.535,0.867,146.008,"Baixa","Mitjana","3","Si","0",55
0.0818564464698322,-9.455,0.731,12.2660900241883,"4",0.425,0.536,75.066,"Baixa","Mitjana","8","Si","0",26
0.261594737688462,-6.49,0.749,12.5181058088458,"4",0.847,0.967,140.02,"Baixa","Molt Alta","6","Si","0",0
0.442760892851861,-6.297,0.552,12.3262217686814,"4",0.786,0.886,87.167,"Mitjana","Baixa","5","No","0",2
0.150142658429719,-8.03,0.583,12.2443939158445,"4",0.25,0.43,129.974,"Baixa","Molt Baixa","7","Si","1",4
0.092943745642738,-9.858,0.865,12.3544926506484,"4",0.249,0.525,100.989,"Mitjana","Molt Alta","11","No","1",62
0.218331994316988,-9.671,0.691,12.2037349151666,"4",0.504,0.581,77.032,"Alta","Baixa","1","Si","1",41
0.29416103854949,-7.033,0.782,12.5022175569288,"4",0.243,0.436,82.994,"Mitjana","Alta","2","Si","1",77
0.0962188577405429,-10.273,0.471,12.2528274063375,"4",0.108,0.179,76.79,"Alta","Baixa","9","Si","0",65
0.162118849476435,-6.503,0.698,12.4869302340748,"4",0.378,0.783,92.082,"Baixa","Molt Alta","2","No","1",52
0.161268147596122,-6.785,0.901,12.3160027049024,"4",0.676,0.625,92.958,"Baixa","Mitjana","11","Si","0",58
0.0828694778222946,-8.417,0.728,12.0822199768629,"4",0.445,0.607,129.938,"Mitjana","Baixa","1","No","1",76
0.0888347137004907,-7.011,0.827,12.1956282926682,"4",0.705,0.559,107.992,"Alta","Mitjana","5","Si","0",62
0.139761942375159,-5.605,0.613,12.2635157410667,"4",0.533,0.882,140.103,"Baixa","Alta","1","Si","1",48
0.143234168085908,-20.126,0.394,12.5632784485383,"4",0.0932,0.103,131.512,"Alta","Baixa","8","Si","1",64
0.200488860749404,-5.991,0.684,12.2704970976621,"4",0.25,0.775,123.07,"Baixa","Baixa","2","Si","1",95
0.113328685307003,-6.84,0.708,12.1521073635084,"4",0.341,0.63,90.045,"Baixa","Molt Alta","1","Si","1",46
0.253090627682162,-6.443,0.739,11.9795860123397,"4",0.767,0.746,82.882,"Baixa","Molt Baixa","9","Si","0",10
0.0813956382039941,-5.436,0.527,12.255938421498,"4",0.266,0.978,141.169,"Baixa","Alta","8","Si","1",73
0.46436274935565,-2.605,0.68,12.1964918963733,"4",0.808,0.907,119.006,"Mitjana","Molt Baixa","6","No","0",56
0.208638865111328,-7.608,0.589,12.4900403281692,"4",0.293,0.468,94.946,"Baixa","Baixa","0","Si","1",55
0.335757695683344,-3.887,0.499,12.5283010617345,"4",0.26,0.714,139.865,"Baixa","Molt Alta","9","No","0",73
0.268499253035007,-7.047,0.725,12.225983110149,"4",0.859,0.834,120.026,"Baixa","Baixa","5","Si","0",80
0.191446464570955,-15.584,0.643,11.9773007849571,"1",0.403,0.213,137.709,"Alta","Molt Baixa","2","Si","1",62
0.23031775506221,-2.881,0.901,12.3785711133754,"4",0.329,0.658,73.019,"Mitjana","Molt Alta","2","Si","1",95
0.109750863959119,-5.025,0.69,12.2552912893177,"4",0.544,0.622,96.545,"Alta","Mitjana","5","No","0",84
0.206200830583898,-6.221,0.83,12.5265606697071,"4",0.376,0.629,101.031,"Baixa","Baixa","11","Si","1",56
0.0870947068509338,-10.054,0.699,12.1743807197975,"4",0.484,0.583,200.382,"Baixa","Molt Alta","6","Si","0",68
0.102556588325092,-8.524,0.629,11.9712676126792,"4",0.0891,0.203,89.646,"Alta","Mitjana","9","No","0",68
0.25231392861399,-4.813,0.743,12.3509216269539,"4",0.839,0.863,99.505,"Mitjana","Baixa","4","Si","0",77
0.114221144090023,-5.534,0.368,12.2525744791816,"4",0.337,0.869,172.202,"Baixa","Alta","11","Si","1",58
0.506215011208307,-6.288,0.479,12.9101919120015,"4",0.6,0.915,120.567,"Baixa","Baixa","2","Si","1",58
0.473123756581979,-6.773,0.593,12.3926061529267,"4",0.473,0.765,104.034,"Baixa","Mitjana","3","Si","1",59
0.112435429329788,-8.585,0.585,12.2443313576473,"4",0.137,0.444,111.158,"Alta","Molt Baixa","3","Si","1",34
0.344298672870677,-9.397,0.497,11.878956503833,"4",0.0632,0.478,95.769,"Baixa","Molt Baixa","6","No","1",72
0.544647172241501,-4.802,0.262,12.2003915385582,"4",0.468,0.881,127.947,"Mitjana","Molt Baixa","2","Si","1",44
0.108854404912082,-4.757,0.744,12.8513889516551,"4",0.866,0.786,177.833,"Mitjana","Molt Alta","2","No","1",45
0.191446464570955,-6.431,0.353,12.3491378218681,"4",0.17,0.486,128.038,"Baixa","Molt Baixa","2","No","0",89
0.0804733841498768,-6.942,0.77,12.0137007528827,"4",0.633,0.539,99.16,"Mitjana","Baixa","10","No","0",51
0.165514438477573,-3.212,0.615,12.1054398255755,"4",0.437,0.713,95.063,"Baixa","Mitjana","6","Si","1",67
0.0989399478549036,-11.587,0.591,12.4578658480693,"4",0.36,0.513,148.092,"Baixa","Alta","2","Si","0",60
0.193920692637307,-5.904,0.71,12.4553594640435,"4",0.458,0.744,122.018,"Baixa","Alta","6","Si","0",65
0.395414772254663,-6.989,0.66,12.1050692903138,"4",0.324,0.66,124.012,"Baixa","Molt Baixa","0","Si","1",51
0.112435429329788,-8.098,0.545,11.9880783141986,"4",0.667,0.583,140.078,"Baixa","Baixa","11","No","1",48
0.31042155942127,-7.335,0.509,12.4406149831298,"4",0.244,0.563,75.089,"Mitjana","Mitjana","7","No","1",78
0.0692461727368143,-6.518,0.565,12.3206505502376,"4",0.229,0.533,165.007,"Alta","Molt Baixa","0","No","0",24
0.0998453349697161,-6.246,0.515,12.0657180275575,"4",0.892,0.603,126.028,"Alta","Molt Baixa","10","No","1",37
0.151002873536527,-9.545,0.441,12.2463793072893,"3",0.105,0.5,174.118,"Alta","Baixa","2","Si","1",79
0.102556588325092,-6.089,0.614,12.2171411628609,"4",0.583,0.593,96.737,"Alta","Molt Alta","11","Si","0",40
0.316269529303693,-8.455,0.608,12.6409217833265,"4",0.171,0.441,124.984,"Baixa","Alta","5","Si","0",57
0.157003748809665,-4.876,0.718,12.5094422723204,"4",0.888,0.847,91.158,"Mitjana","Molt Alta","2","No","1",19
0.260053905334307,-9.196,0.474,12.1020445751061,"4",0.716,0.387,128.746,"Alta","Molt Alta","9","Si","1",56
0.147557564357615,-5.399,0.519,12.1695435068383,"4",0.243,0.455,99.909,"Mitjana","Molt Baixa","6","No","0",51
0.0591176044830888,-8.248,0.805,12.7608711346053,"4",0.173,0.644,100.001,"Baixa","Molt Alta","1","Si","1",53
0.0610950993598109,-11.267,0.4,11.895190179908,"4",0.604,0.744,101.967,"Baixa","Molt Baixa","8","Si","1",19
0.0897492921436081,-8.092,0.839,11.8131485689163,"4",0.0644,0.473,82.46,"Alta","Mitjana","10","Si","1",65
0.0848924670179626,-7.269,0.646,12.261062598847,"4",0.412,0.506,139.991,"Mitjana","Molt Baixa","10","No","0",46
0.0962188577405429,-4.19,0.489,12.3927181738042,"4",0.902,0.917,152.113,"Baixa","Baixa","9","No","1",67
0.430482871083452,-7.539,0.579,12.3950387450428,"4",0.398,0.524,77.737,"Mitjana","Baixa","4","Si","0",65
0.117783035656383,-7.838,0.542,11.5999285085918,"4",0.287,0.551,140.008,"Baixa","Mitjana","1","No","0",37
0.0568528115927828,-5.867,0.66,12.2621362936661,"4",0.458,0.927,136.247,"Mitjana","Alta","5","Si","0",60
0.128393214768399,-17.074,0.329,12.97969321024,"4",0.189,0.306,170.169,"Alta","Molt Baixa","2","Si","0",68
0.0637256908805448,-5.425,0.636,12.1970974890399,"3",0.402,0.708,200.014,"Mitjana","Mitjana","9","No","1",16
0.61302113608066,-2.555,0.688,12.3451386936532,"4",0.619,0.991,141.72,"Baixa","Alta","1","Si","0",68
0.222343231143441,-5.462,0.71,12.3579349948394,"4",0.875,0.882,104.053,"Baixa","Molt Baixa","4","Si","0",67
0.161268147596122,-5.114,0.673,12.0282967415841,"4",0.749,0.84,144.184,"Mitjana","Baixa","9","Si","1",53
